127.0.0.1 - - [22/Sep/2019:15:23:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:23:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:23:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:23:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:23:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:11 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:11 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:11 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:11 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:11 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1"
127.0.0.1 - - [22/Sep/2019:15:26:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0"
127.0.0.1 - - [22/Sep/2019:15:26:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0"
127.0.0.1 - - [22/Sep/2019:15:26:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0"
127.0.0.1 - - [22/Sep/2019:15:26:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0"
127.0.0.1 - - [22/Sep/2019:15:26:45 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0"
127.0.0.1 - - [22/Sep/2019:15:26:59 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0.001561"
127.0.0.1 - - [22/Sep/2019:15:26:59 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0.001554"
127.0.0.1 - - [22/Sep/2019:15:26:59 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0.001478"
127.0.0.1 - - [22/Sep/2019:15:26:59 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0.001177"
127.0.0.1 - - [22/Sep/2019:15:26:59 +0700] "GET / HTTP/1.1" 200 12 "-" "hey/0.0.1" "0.001295"
